	Rank	Player Name	Accuracy	Play Count	pp	SS count	S count	A count
209	20	 VelperK	99.85	101,219 (lv.103)	15,158pp	1026	1273	23
210	123	 M a s t e r	99.71	147,790 (lv.104)	11,087pp	1040	1434	23
211	37	 DakkyChan	99.86	18,339 (lv.101)	13,593pp	84	255	22
212	75	 Sounny	99.83	120,287 (lv.103)	12,229pp	252	886	22
213	124	 ItsLingers	99.75	97,171 (lv.102)	11,066pp	4257	1995	22
214	111	 Daletto	99.90	45,435 (lv.102)	11,513pp	1203	1085	21
215	34	 ExGon	99.83	162,302 (lv.105)	13,709pp	6483	270	17
216	35	 Uncareful	99.87	51,238 (lv.101)	13,677pp	47	118	16
217	78	 Beepu	99.84	51,555 (lv.102)	12,113pp	774	2169	16
218	97	 Rells	99.75	60,146 (lv.101)	11,673pp	308	1149	16
219	142	 2wx	99.88	22,359 (lv.100)	10,751pp	93	262	16
220	69	 -Nekochan-	99.99	71,498 (lv.102)	12,303pp	2133	711	15
221	171	 mjj741	100.00	228,292 (lv.106)	10,341pp	20041	505	15
222	212	 FrostZeo	99.78	54,365 (lv.101)	9,891pp	782	301	14
223	23	 Crystal	99.93	62,826 (lv.102)	14,787pp	2358	2710	12
224	119	 chickennando	99.97	163,027 (lv.106)	11,230pp	15882	731	12
225	192	 set44599	99.69	67,646 (lv.101)	10,067pp	1762	912	12
226	49	 Ponchiwi	99.86	102,467 (lv.103)	12,961pp	2428	2682	11
227	207	 Catch The Beat	99.84	94,546 (lv.102)	9,974pp	722	619	9
228	100	 Memoriola	99.88	84,953 (lv.103)	11,651pp	1663	401	8
229	218	 R y u k	99.73	34,400 (lv.100)	9,839pp	304	423	8
230	70	 Sakurano  Kurimu	99.69	85,890 (lv.102)	12,281pp	1085	2682	7
231	72	 lechuguin	99.82	110,937 (lv.104)	12,262pp	3350	1225	5
232	134	 Cyanus	99.38	32,598 (lv.100)	10,841pp	400	918	5
233	92	 XisK	99.94	146,058 (lv.104)	11,776pp	4256	160	4
234	159	 Emiru	99.95	45,701 (lv.101)	10,484pp	2376	108	3
235	176	 bastoo0	99.87	43,358 (lv.101)	10,292pp	363	932	3
236	200	 JonZkuu	99.90	57,015 (lv.102)	10,014pp	4489	696	3
237	167	 - Flutter -	99.85	40,368 (lv.101)	10,397pp	643	983	2
238	16	 Dusk	99.86	82,970 (lv.104)	15,628pp	2761	1650	1
239	54	 noraRcat	99.99	89,714 (lv.105)	12,730pp	12972	112	1
240	183	 die Eisdiele	100.00	42,436 (lv.101)	10,204pp	1892	3	1
241	238	 KitsunIvy	99.99	92,266 (lv.101)	9,622pp	1021	217	1
242	243	 Hoshinomori	99.62	45,802 (lv.101)	9,592pp	153	230	1
243	38	 Berea	99.96	74,614 (lv.103)	13,529pp	2104	213	0
244	91	 b-a-d-s123	100.00	363,771 (lv.110)	11,777pp	6326	0	0
245	94	 RAMPAGE88	99.91	268,841 (lv.115)	11,755pp	19340	4418	0
246	172	 Yoshi_green	99.97	67,850 (lv.102)	10,340pp	1439	59	0
247	201	 Melu	99.78	51,147 (lv.101)	10,001pp	4094	2320	0
248	227	 Eventually	99.83	47,978 (lv.101)	9,748pp	214	481	0
249	231	 LieLoom	99.53	76,689 (lv.101)	9,705pp	2220	237	0
