	score_id	beatmap_id	count100	count300	count50	countmiss	date	enabled_mods	maxcombo	pp	rank	score
0	2475968407	1290384	2	190	1	0	1519478556000	64	335	37.9316	"""S"""	1407095
1	2481497084	945107	0	46	0	0	1520122976000	64	106	42.1574	"""X"""	119006
2	2487219528	948696	0	152	0	0	1520801998000	64	302	46.5163	"""X"""	1004452
3	2510589149	992364	1	92	0	0	1523577752000	64	162	41.6398	"""S"""	428598
4	2518119398	1151255	1	168	0	0	1524401572000	64	301	38.2091	"""S"""	1098677
5	2521312846	1047632	3	214	0	0	1524771572000	64	412	39.6015	"""S"""	2510174
6	2523604058	827301	5	259	0	0	1525006356000	64	458	45.5717	"""S"""	3443061
7	2523617326	224136	2	302	0	0	1525007378000	64	531	55.6852	"""S"""	3482804
8	2523646397	1404467	2	176	0	0	1525009576000	64	304	42.3842	"""S"""	1180978
9	2524884344	1176544	4	231	0	0	1525127324000	64	401	43.0029	"""S"""	2629780
10	2530978556	1053124	1	214	0	0	1525806492000	64	384	45.5324	"""S"""	2349696
11	2533835221	823767	3	186	0	0	1526131977000	64	322	37.9533	"""S"""	1620308
12	2540343384	958863	5	182	0	0	1526828462000	64	315	38.3083	"""S"""	1238212
13	2540348200	862007	4	150	1	0	1526828809000	64	282	41.8126	"""S"""	1168119
14	2541088838	776215	2	182	0	0	1526912611000	64	394	38.4723	"""S"""	1512630
15	2547490913	1214824	4	158	0	0	1527618223000	64	325	40.9121	"""S"""	1122847
16	2549132482	837665	1	185	0	0	1527796026000	64	411	40.1412	"""S"""	1630034
17	2560909218	1246058	0	133	0	0	1529060656000	64	258	44.7579	"""X"""	740021
18	2567307263	953570	0	145	0	0	1529754850000	64	294	44.6375	"""X"""	914778
19	2768372086	844182	8	315	0	0	1553723482000	64	754	38.1504	"""S"""	6539111
20	2772730896	1532192	1	134	0	0	1554242855000	64	236	38.5701	"""S"""	720162
21	2778808967	1692475	1	205	0	0	1554986064000	64	481	37.9917	"""S"""	2125088
22	2779936716	546409	8	274	1	0	1555107718000	64	681	39.1077	"""S"""	3961384
23	2792530118	1406633	1	161	0	0	1556485970000	64	294	41.1706	"""S"""	1012502
24	2793199706	292883	1	224	0	0	1556569532000	64	509	39.9369	"""S"""	2496502
25	2797183294	784976	1	156	0	0	1557002540000	64	342	42.5073	"""S"""	1146566
26	2798154983	1787988	5	300	0	0	1557097279000	64	540	43.3718	"""S"""	3396757
27	2798162273	1189433	3	183	0	0	1557098288000	64	325	42.9862	"""S"""	1729629
28	2798837838	1187597	8	313	0	0	1557182832000	64	601	38.218	"""S"""	3894554
29	2798842644	1322451	18	441	0	0	1557183505000	64	785	46.0853	"""S"""	9542987
30	2800286222	1803430	7	183	0	0	1557359800000	64	340	39.2935	"""S"""	1709582
31	2800313559	1096056	0	138	0	0	1557363911000	64	287	39.6765	"""X"""	861190
32	2810581646	1657611	0	182	0	0	1558476332000	64	319	52.9173	"""X"""	1634871
33	2817419452	2027058	0	179	0	0	1559235210000	64	312	52.9433	"""X"""	1200163
34	2828195378	2030805	7	183	0	0	1560431025000	64	339	43.7896	"""S"""	1777371
35	2845695798	1527935	4	332	0	0	1562491463000	64	753	44.4416	"""S"""	5127227
36	2852488791	1747119	1	169	0	0	1563317075000	64	305	43.6566	"""S"""	1106846
37	2852808862	614217	2	121	0	0	1563364290000	64	243	40.0616	"""S"""	628318
38	2853521295	2092199	3	218	0	0	1563451760000	64	385	41.7834	"""S"""	2349066
39	2853523789	2038471	4	189	1	0	1563452014000	64	318	47.7312	"""S"""	1679147
40	2853551133	1709137	2	123	0	0	1563454778000	64	238	38.1976	"""S"""	646178
41	2853555155	1840781	1	174	0	0	1563455179000	64	308	40.2941	"""S"""	1145710
42	2854228800	1788615	2	190	1	0	1563538100000	64	322	42.1848	"""S"""	1773116
43	2854231080	2010835	6	181	0	0	1563538349000	64	367	47.0099	"""S"""	1850721
44	2855225881	1579965	9	208	1	0	1563649878000	64	404	45.4742	"""S"""	2436882
45	2945798973	1270879	2	159	0	0	1574762239000	64	297	44.8835	"""S"""	1044482
46	2945804212	1178153	3	154	0	0	1574763246000	64	339	40.7209	"""S"""	1135443
47	2957360732	923897	13	201	4	0	1576157011000	64	392	39.7832	"""A"""	2286577
48	2965002255	1717104	14	252	2	0	1577034514000	64	432	42.5819	"""S"""	3041156
49	2974692390	1071617	7	221	0	0	1578149318000	64	411	42.347	"""S"""	2006957
50	2974696223	1301967	8	445	0	0	1578149646000	64	807	41.9594	"""S"""	9941653
51	2974712856	456269	3	228	0	0	1578151092000	64	457	40.1853	"""S"""	2167135
52	2974720026	1415674	2	177	0	0	1578151730000	64	366	40.9952	"""S"""	1394647
53	2975562938	688710	7	430	0	0	1578245370000	64	828	50.5211	"""S"""	7441509
54	2975573377	1864720	5	190	0	1	1578246353000	64	317	38.3936	"""A"""	1703542
55	2975577020	728549	4	221	0	5	1578246696000	64	320	39.03	"""A"""	1187827
56	2977402782	1704366	1	133	0	0	1578490099000	64	211	62.5632	"""S"""	790473
57	2977409274	2098939	11	181	0	0	1578490794000	64	317	42.3805	"""S"""	1685246
58	2977411222	1976241	8	182	0	0	1578490999000	64	306	42.7592	"""S"""	1213493
59	2977414081	2024999	18	173	0	0	1578491297000	64	316	51.2231	"""S"""	1255983
60	2977768092	1023085	3	168	0	0	1578528456000	64	336	42.6217	"""S"""	1232143
61	2978047616	1657950	4	189	0	0	1578574294000	64	320	51.2605	"""S"""	1707976
62	2978054982	1774426	8	363	0	0	1578575202000	64	690	41.5957	"""S"""	5282856
63	2978055980	2090618	7	273	1	0	1578575319000	64	503	37.9699	"""S"""	3852641
